StnID,Lat,Lon,Elev,State/Province,Name,UTC_Offset,POR_Date_Range_P,PCT_POR_Good_P,Num_Years_P,POR_Date_Range_T,Num_Years_T,PCT_POR_Good_T,overlap_years
USC00444414,36.6002,-78.3011,76.2,VA,JOHN H KERR DAM,-5,19511201-20240304,85.0,73,19480301-20240504,77.0,95.1,74
USW00014743,44.5772,-75.1097,136.6,NY,CANTON 4 SE,-5,19480501-20210318,88.5,73,18930101-20240308,132.0,79.3,74
USC00339312,40.7813,-81.9199,310.9,OH,WOOSTER EXP STATION,-5,19480801-20240403,93.6,76,18930601-20211031,129.0,92.6,74
USC00221707,34.1864,-90.5573,52.7,MS,CLARKSDALE,-6,19510616-20240405,81.9,73,18920901-20240502,133.0,86.0,74
USC00386831,34.8813,-82.7188,327.7,SC,PICKENS,-5,19510801-20240409,86.8,73,19510801-20240430,74.0,96.3,74
USC00143984,37.9233,-95.4241,290.8,KS,IOLA 1 W,-6,19510101-20240415,78.9,73,19040901-20240503,121.0,53.8,74
USC00340908,36.7236,-102.4805,1259.7,OK,BOISE CITY 2 E,-6,19471001-20240118,61.0,77,19080118-20200228,113.0,90.1,74
USC00188065,39.5099,-79.1401,455.7,MD,SAVAGE RIVER DAM,-5,19490601-20220906,72.1,73,19450226-20240504,80.0,89.1,74
USC00331197,40.0111,-81.5794,243.8,OH,CAMBRIDGE,-5,19480801-20210409,69.0,73,19480801-20210331,74.0,76.9,74
USC00367938,40.3552,-75.3131,92.0,PA,SELLERSVILLE,-5,19480501-20210802,64.8,73,19480501-20240504,77.0,35.4,74
USC00114710,41.2429,-89.8997,237.7,IL,KEWANEE 1 E,-6,19510501-20240401,57.8,73,19390801-20240504,86.0,93.0,74
USC00232318,40.4906,-92.3705,265.2,MO,DOWNING,-6,19480801-20240303,69.8,76,18930801-20210930,129.0,20.3,74
USC00321288,48.4869,-99.1976,451.4,ND,CANDO 1E,-6,19500901-20230915,78.2,73,19010301-20240501,124.0,20.9,74
USC00298501,36.3627,-104.5849,1794.7,NM,SPRINGER,-7,19471101-20200401,88.6,73,18920101-20200114,129.0,83.9,74
USC00319675,36.1306,-80.5481,266.7,NC,YADKINVILLE 6 E,-5,19480601-20210503,94.3,73,19400205-20240504,85.0,78.5,74
USC00465002,39.7204,-79.8561,274.3,WV,LAKE LYNN,-5,19480801-20210422,85.4,73,19280401-20210501,94.0,19.2,74
USC00396427,44.0622,-103.4819,1438.7,SD,PACTOLA DAM,-7,19510801-20240401,87.5,73,19510801-20240504,74.0,89.2,74
USC00446955,37.0558,-80.7842,634.0,VA,PULASKI 2 E,-5,19521212-20240401,88.6,72,19200501-20240504,105.0,63.8,73
USC00419588,26.178,-97.9708,22.9,TX,WESLACO,-6,19471001-20190501,80.6,72,19140201-20240504,111.0,85.5,73
USC00212964,46.7336,-95.7066,427.6,MN,FRAZEE,-6,19480801-20230302,72.6,75,19480801-20200218,73.0,0.0,73
USC00212916,47.5639,-95.7246,396.2,MN,FOSSTON 1 E,-6,19480801-20230906,71.8,75,19090701-20201227,112.0,85.0,73
USC00381726,33.6634,-82.1897,121.9,SC,CLARKS HILL 1 W,-5,19520108-20240305,89.5,72,19520809-20240504,73.0,91.5,73
USC00398980,45.4247,-97.327,556.9,SD,WAUBAY NATL WILD LIFE,-6,19520508-20240402,94.9,72,19520502-20240430,73.0,95.5,73
USC00306314,43.4499,-76.5369,98.8,NY,OSWEGO,-5,19480501-20200518,90.1,72,19260101-20240504,99.0,98.5,73
USC00109065,43.8563,-111.2769,1880.6,ID,TETONIA EXPERIMENT STN,-7,19520517-20240401,81.4,72,19500401-20240504,75.0,87.0,73
USC00325993,48.1802,-101.2963,539.2,ND,MINOT EXP STATION,-6,19520901-20240301,92.1,72,19050610-20240502,120.0,97.2,73
USC00103732,42.5631,-111.7594,1684.9,ID,GRACE,-7,19521123-20240403,88.0,72,19070119-20240503,118.0,94.8,73
USC00250865,41.0654,-102.071,1029.9,NE,BIG SPRINGS,-7,19480801-20200507,85.0,72,19160501-20200804,105.0,70.2,73
USC00410926,33.8186,-97.7336,298.7,TX,BONITA 7NW,-6,19400201-20201113,92.0,80,19480601-20201112,73.0,24.8,73
USC00049490,40.7353,-122.9441,627.3,CA,WEAVERVILLE,-8,19480701-20240402,88.2,76,18940101-20200923,127.0,77.6,73
USC00112687,39.1181,-88.6244,190.5,IL,EFFINGHAM 3SW,-6,19480701-20200625,86.3,72,18930101-20200612,128.0,87.6,73
USC00334942,40.6142,-83.13,294.1,OH,MARION 2 N,-5,19480801-20200514,83.5,72,19360101-20200101,85.0,90.4,73
USC00366233,41.0172,-80.3615,251.5,PA,NEW CASTLE 1 N,-5,19480501-20200203,76.6,72,18920501-20200131,129.0,85.9,73
USC00312732,34.6272,-78.6107,36.6,NC,ELIZABETHTOWN,-5,19480601-20200228,82.4,72,19101201-20240502,115.0,45.2,73
USC00410206,33.3866,-97.7163,307.8,TX,ALVORD 3 N,-6,19420401-20200201,86.9,78,19480601-20201031,73.0,22.8,73
USC00202094,45.9983,-83.9013,181.4,MI,DETOUR VILLAGE,-5,19520819-20240402,90.3,72,19000801-20240503,125.0,55.5,73
USC00419715,31.8611,-97.375,175.0,TX,WHITNEY DAM,-6,19520617-20240312,94.1,72,19491008-20240504,76.0,89.9,73
USC00153929,37.5316,-85.735,240.2,KY,HODGENVILLE LINCOLN P,-5,19480801-20200901,81.5,72,19480801-20240331,77.0,60.6,73
USC00251575,42.8083,-103.0533,1021.4,NE,CHADRON 3SW,-7,19480801-20200201,82.3,72,18940801-20240428,131.0,78.7,73
USC00264698,40.17,-118.4776,1211.0,NV,LOVELOCK,-8,19520923-20240402,92.2,72,18950101-20231229,129.0,79.6,72
USC00172878,47.2386,-68.612,185.9,ME,FORT KENT,-5,19531016-20240403,86.2,71,18930101-20240504,132.0,63.2,72
USC00245387,46.5,-110.3378,1463.0,MT,MARTINSDALE 3 NNW,-7,19410101-20120503,91.3,71,18930101-20120430,120.0,62.9,72
USC00297279,36.9194,-104.4325,2112.9,NM,RATON FILTER PLANT,-7,19530902-20240422,75.1,71,19530901-20240331,72.0,95.4,72
USC00035754,34.2255,-92.0185,70.1,AR,PINE BLUFF,-6,19530101-20240304,88.7,71,18840514-20240503,141.0,93.0,72
USC00125337,40.58,-85.6586,240.8,IN,MARION 2 N,-5,19530613-20240401,92.5,71,18930101-20240504,132.0,98.2,72
USC00340670,34.874,-95.0871,203.3,OK,BENGAL 4 NNW,-6,19471001-20240412,88.6,77,19000601-20180831,119.0,1.6,72
USC00335297,40.5375,-81.9197,249.6,OH,MILLERSBURG,-5,19530301-20240409,69.3,71,19161123-20240331,109.0,86.9,72
USC00210157,43.8835,-94.1665,313.9,MN,AMBOY,-6,19480801-20190108,68.0,71,19050301-20190122,115.0,22.2,72
USC00129430,40.475,-86.9919,215.8,IN,WEST LAFAYETTE 6 NW,-5,19530808-20240404,93.5,71,19010101-20240501,124.0,94.1,72
USC00452505,47.0,-120.5167,497.1,WA,ELLENSBURG,-8,19530901-20240409,88.5,71,18930201-20240502,132.0,87.4,72
USC00243984,47.3833,-115.4,961.0,MT,HAUGAN,-7,19521022-20230928,74.5,71,19120201-20230531,112.0,82.9,72
USC00294366,35.3886,-106.5438,1642.3,NM,JEMEZ DAM,-7,19531001-20240402,89.0,71,19530901-20240503,72.0,36.6,72
USC00410639,28.4575,-97.7061,77.7,TX,BEEVILLE 5 NE,-6,19530802-20240410,89.5,71,18940707-20240503,131.0,91.0,72
USC00238712,38.7841,-93.8008,242.6,MO,WARRENSBURG 4NW,-6,19530324-20240401,76.3,71,18930102-20240421,132.0,79.0,72
USC00219059,47.4305,-94.0504,402.3,MN,WINNIBIGOSHISH DAM,-6,19530301-20240401,92.1,71,18930101-20240430,132.0,71.9,72
USC00364778,40.119,-76.4265,109.7,PA,LANDISVILLE 2 NW,-5,19520401-20231019,86.6,71,19520401-20240229,73.0,97.2,72
USC00413546,32.7463,-95.0497,118.9,TX,GILMER 4 WNW,-6,19410701-20120601,80.6,71,19290316-20120701,84.0,93.6,72
USC00419499,31.6725,-100.7283,644.7,TX,WATER VALLEY,-6,19531001-20240402,88.6,71,18980724-20240504,127.0,46.1,72
USC00418022,30.1414,-102.3917,849.8,TX,SANDERSON,-6,19420801-20130904,10.4,71,18970101-20130817,117.0,49.7,72
USC00214652,47.2467,-94.2228,396.8,MN,LEECH LAKE,-6,19530301-20240304,83.2,71,18930101-20240504,132.0,93.7,72
USC00326620,46.1458,-98.0919,403.6,ND,OAKES,-6,19480801-20190619,86.5,71,19220919-20190830,98.0,83.3,72
USC00103143,46.0999,-115.5447,469.4,ID,FENN RANGER STATION,-8,19520424-20231113,90.2,71,19390601-20240504,86.0,91.2,72
USC00385946,33.2425,-79.9869,14.9,SC,MONCKS CORNER 4 N,-5,19480601-20181127,78.8,70,19480801-20240504,77.0,33.0,71
USC00351643,46.1081,-123.2058,6.7,OR,CLATSKANIE,-8,19540825-20240403,89.3,70,19350501-20240331,90.0,99.2,71
USC00487200,41.625,-104.4944,1521.3,WY,PHILLIPS,-7,19480801-20200302,91.9,72,19480801-20181231,71.0,96.3,71
USC00320450,47.036,-98.0831,397.2,ND,BALDHILL DAM,-6,19540101-20240401,92.8,70,19480701-20240504,77.0,5.0,71
USC00263512,38.5155,-118.6208,1341.1,NV,HAWTHORNE,-8,19540820-20240404,44.3,70,19540819-20240331,71.0,45.0,71
USC00047085,39.8053,-120.4719,1478.3,CA,PORTOLA,-8,19541019-20240403,85.6,70,19150101-20240430,110.0,91.2,71
USC00362721,40.0087,-78.3585,304.8,PA,EVERETT,-5,19480501-20180901,73.0,70,18970501-20240229,128.0,71.4,71
USC00352292,44.7241,-122.2547,371.9,OR,DETROIT DAM,-8,19541101-20240401,87.4,70,19541116-20240504,71.0,98.0,71
USC00380736,34.2246,-80.2191,53.3,SC,BISHOPVILLE 1.4 ENE,-5,19480601-20180228,86.3,70,19330422-20240503,92.0,82.3,71
USC00353402,45.3008,-121.7425,1213.1,OR,GOVERNMENT CAMP,-8,19541013-20240405,86.6,70,19510718-20240407,74.0,97.3,71
USC00044232,36.798,-118.2036,1204.0,CA,INDEPENDENCE,-8,19480701-20190114,93.1,71,18930101-20180528,126.0,89.4,71
USC00454769,46.1372,-122.9781,3.4,WA,LONGVIEW,-8,19540801-20240422,74.1,70,19250701-20240504,100.0,96.2,71
USW00024027,41.5947,-109.0529,2060.0,WY,ROCK SPRINGS AP,-7,19480801-20170508,55.6,69,19480101-20240503,77.0,97.6,70
USC00414098,34.8172,-102.4002,1164.3,TX,HEREFORD,-6,19550516-20240423,83.7,69,19050110-20240430,120.0,73.6,70
USC00466163,39.0667,-78.9667,249.9,WV,MOOREFIELD,-5,19480501-20171201,83.8,69,18920104-20171231,126.0,73.0,70
USC00087886,27.7833,-82.6333,10.7,FL,ST PETERSBURG,-5,19460201-20150102,91.1,69,18920101-20150112,124.0,82.5,70
USC00416792,29.3273,-103.2062,1140.0,TX,PANTHER JUNCTION,-6,19550321-20240305,94.6,69,19550401-20240504,70.0,97.2,70
USC00487995,41.5047,-106.7888,2072.9,WY,SARATOGA 4N,-7,19480801-20171026,87.7,69,19480801-20240504,77.0,17.3,70
USC00298518,35.1766,-105.9438,1943.1,NM,STANLEY 2 NNE,-7,19541201-20230419,89.0,69,19541101-20231031,70.0,92.7,70
USC00396574,43.0688,-98.5325,454.2,SD,PICKSTOWN,-6,19481101-20170703,96.4,69,19480101-20170417,70.0,96.9,70
USC00419565,34.8422,-100.2102,621.8,TX,WELLINGTON,-6,19491001-20180628,70.9,69,19120401-20180430,107.0,52.2,70
USC00461677,39.2682,-80.3522,306.6,WV,CLARKSBURG 1,-5,19480801-20171027,83.2,69,19221117-20240504,103.0,96.4,70
USC00030936,34.8822,-91.2152,56.4,AR,BRINKLEY,-6,19480501-20170922,90.6,69,18830401-20170831,135.0,90.5,70
USC00224173,34.8219,-89.4347,147.2,MS,HOLLY SPRINGS 4 N,-6,19471004-20190702,89.8,72,19480601-20170731,70.0,75.8,70
USC00449215,36.9725,-82.5579,781.5,VA,WISE 1SE,-5,19551112-20240405,85.8,69,19550512-20240404,70.0,97.8,70
USC00435733,44.1647,-72.6567,204.2,VT,NORTHFIELD,-5,19480501-20170417,57.5,69,18870301-20181007,132.0,78.7,70
USC00364432,41.677,-78.8036,533.4,PA,KANE 1NNE,-5,19490101-20180726,76.6,69,18940101-20240504,131.0,63.7,70
USC00487760,43.0307,-108.3743,1510.3,WY,RIVERTON,-7,19550919-20240401,94.5,69,19070101-20240504,118.0,88.8,70
USC00312719,36.3096,-76.205,2.4,NC,ELIZABETH CITY,-5,19541119-20230706,76.4,69,19110401-20240331,114.0,92.6,70
USC00120922,39.5108,-87.1241,207.0,IN,BRAZIL,-5,19480701-20240401,93.8,76,19480701-20170803,70.0,2.2,70
USC00451496,47.5711,-124.2922,24.4,WA,CLEARWATER,-8,19480701-20180315,78.7,70,18950605-20170331,123.0,69.7,70
USC00418252,30.6886,-101.8272,662.9,TX,SHEFFIELD,-6,19420701-20130425,94.1,71,19381017-20111231,74.0,62.6,70
USC00313638,35.64,-77.3984,9.8,NC,GREENVILLE,-5,19551011-20240306,80.8,69,18750301-20240504,150.0,63.2,70
USC00355050,43.9139,-122.76,217.0,OR,LOOKOUT POINT DAM,-8,19550913-20240401,90.8,69,19550914-20240503,70.0,98.4,70
USC00407359,36.5877,-86.5258,242.0,TN,PORTLAND SEWAGE PLANT,-6,19530601-20240404,81.0,71,19550615-20240131,70.0,94.9,70
USC00206300,43.0161,-84.18,222.5,MI,OWOSSO WWTP,-5,19550831-20240401,85.7,69,18960101-20240504,129.0,93.8,70
USC00057519,39.2951,-102.8677,1434.4,CO,SEIBERT,-7,19550505-20240419,89.7,69,19490501-20240229,76.0,22.0,70
USC00402680,35.9986,-89.409,91.4,TN,DYERSBURG,-6,19480901-20170413,85.2,69,18930501-20210228,129.0,23.2,70
USC00248169,47.1167,-105.55,1015.9,MT,TERRY 25 NNW,-7,19400101-20231005,92.8,83,19491201-20180930,70.0,70.9,70
USC00297649,33.3677,-105.6611,2112.3,NM,RUIDOSO,-7,19471101-20150814,80.6,68,19411222-20240503,84.0,86.3,69
USC00089795,30.7219,-84.8741,32.6,FL,WOODRUFF DAM,-5,19560401-20240401,83.0,68,19560401-20240504,69.0,31.7,69
USC00243176,48.0121,-106.4117,631.2,MT,FORT PECK POWER PLANT,-7,19561201-20240423,94.9,68,19561201-20240504,69.0,94.8,69
USC00024586,35.8109,-110.1932,1891.3,AZ,KEAMS CANYON,-7,19480701-20160817,84.4,68,18940101-20160731,123.0,52.6,69
USC00296435,32.3788,-106.0924,1286.6,NM,OROGRANDE,-7,19471101-20160218,90.7,69,19041201-20150423,112.0,76.0,69
USC00150450,36.8582,-83.3302,354.8,KY,BAXTER,-5,19480801-20160101,72.6,68,19480801-20160101,69.0,92.6,69
USC00150381,36.8825,-83.8819,301.8,KY,BARBOURVILLE,-5,19480801-20160916,78.5,68,19360701-20240504,89.0,74.8,69
USC00422726,41.0203,-111.9328,1335.0,UT,FARMINGTON 3 NW,-7,19480801-20240419,52.7,76,19480701-20160930,69.0,68.8,69
USC00417066,32.9263,-94.9392,111.3,TX,PITTSBURG 5 SSE,-6,19490501-20171024,83.8,68,19490423-20170430,69.0,15.7,69
USC00419491,30.3237,-96.1594,65.5,TX,WASHINGTON STATE PARK,-6,19520612-20200613,86.7,68,19150401-20240229,110.0,62.1,69
USC00224001,34.6189,-89.1912,121.9,MS,HICKORY FLAT,-6,19480601-20160601,93.5,68,19090501-20160531,108.0,52.4,69
USC00041018,39.4539,-120.6556,1641.3,CA,BOWMAN DAM,-8,19480701-20160601,85.0,68,18960601-20240327,129.0,65.2,69
USC00309072,42.1173,-77.9475,460.2,NY,WELLSVILLE,-5,19551201-20240401,92.7,69,19560620-20240503,69.0,29.9,69
