StnID,dpt_wmo_id,distance_km,elevation_diff_m,Lat,Lon,Elev,State/Province,Name,UTC_Offset,POR_Date_Range,PCT_POR_Good,Num_Year_Overlap,Num_Valid_Years,PCT_Good_Overlap_1h,Num_Year_Overlap_1h,PCT_Good_Overlap_24h,Num_Year_Overlap_24h,KG
USC00311241,723170-13723,45.63842402840256,79.9,36.0936,-79.4321,195.1,NC,BURLINGTON,-5,19480601-20240411, 81.7%,68.0,68.0,90.3,68.0,93.1,68.0,Cfa
USC00127482,725335-99999,46.58313454835519,15.400000000000006,41.0665,-86.2096,231.6,IN,ROCHESTER,-5,19481013-20240401, 85.1%,68.0,68.0,86.4,67.0,88.1,67.0,Dfa
USC00125337,725335-99999,42.202120178667805,6.199999999999989,40.58,-85.6586,240.8,IN,MARION 2 N,-5,19530613-20240401, 92.5%,68.0,68.0,93.5,68.0,93.5,68.0,Dfa
USC00252010,725560-14941,30.925630158573043,17.80000000000001,41.7063,-97.3637,493.8,NE,CRESTON,-6,19480801-20151217, 86.1%,68.0,68.0,99.9,68.0,99.6,67.0,Dfa
USC00041142,723965-93209,45.4799554515429,32.89999999999998,35.7989,-121.0939,281.9,CA,BRYSON,-8,19480701-20231202, 90.4%,68.0,68.0,90.9,68.0,89.7,68.0,Csb
USC00044025,724917-23233,26.303251189484648,60.8,36.8483,-121.4213,83.8,CA,HOLLISTER 2,-8,19480701-20240402, 86.3%,69.0,68.0,88.2,69.0,90.6,67.0,Csb
USW00093809,724350-03816,36.777351316029645,25.90000000000001,37.0401,-89.1842,98.1,IL,CAIRO 3N,-6,19480701-20240312, 90.2%,68.0,68.0,86.0,66.0,87.0,67.0,Cfa
USC00041018,725845-23225,20.801959792281675,30.299999999999955,39.4539,-120.6556,1641.3,CA,BOWMAN DAM,-8,19480701-20160601, 85.0%,68.0,68.0,97.4,68.0,97.3,68.0,Csb
USC00106174,726815-24106,14.705243458725896,44.10000000000002,43.1261,-115.7119,957.1,ID,MOUNTAIN HOME,-7,19480701-20170405, 86.2%,68.0,68.0,94.9,68.0,92.9,65.0,BWk
USC00121147,725335-99999,27.83702166263385,13.800000000000011,40.4835,-86.3961,233.2,IN,BURLINGTON,-5,19501103-20240402, 94.8%,68.0,68.0,91.0,68.0,90.8,68.0,Dfa
USC00317079,723060-13722,13.23805886723713,1.9000000000000057,35.7908,-78.6988,121.9,NC,RALEIGH STATE UNIV,-5,19480601-20240410, 76.0%,69.0,67.0,100.0,68.0,100.0,67.0,Cfa
