StnID,dpt_wmo_id,distance_km,elevation_diff_m,Lat,Lon,Elev,State/Province,Name,UTC_Offset,POR_Date_Range_P,PCT_POR_Good_P,Num_Years_P,PCT_Good_Overlap_1h,Num_Year_Overlap,PCT_Good_Overlap_24h,KG
USC00476718,726410-14837,44.13556343037449,21.69999999999999,43.5306,-89.437,239.3,WI,PORTAGE WWTP,-6,19480801-20240402,92.9,76,89.3,23,92.1,25
USC00478589,726430-14920,20.812870065335392,3.1999999999999886,43.9994,-91.4378,201.2,WI,TREMPEALEAU DAM 6,-6,19480801-20240401,80.9,76,83.7,23,86.5,25
USC00473038,726430-14920,33.343603587671915,3.1999999999999886,43.5705,-91.2295,194.8,WI,GENOA DAM 8,-6,19480801-20240419,89.5,76,83.2,23,85.9,25
USC00475335,726435-14991,36.01037220669579,29.69999999999999,44.8741,-91.9365,239.3,WI,MENOMONIE,-6,19480801-20240401,88.6,76,85.3,23,87.9,25
USC00475364,726463-14897,28.928186419132654,15.0,45.1785,-89.6615,381.0,WI,MERRILL,-6,19480801-20240404,86.3,76,75.6,23,81.7,26
USC00047902,723925-23190,14.277639810754055,2.9000000000000004,34.4167,-119.6844,4.9,CA,SANTA BARBARA,-8,19480701-20240402,91.4,76,74.2,23,74.0,9
USC00325479,727640-24011,12.689014038618676,30.399999999999977,46.8127,-100.9097,533.4,ND,MANDAN EXP STATION,-6,19481001-20240401,94.1,76,91.9,23,92.3,7
USW00013802,724338-13802,0.0,4.0,38.55,-89.85,135.0,IL,BELLEVILLE SCOTT AAF,-6,19480701-20240401,92.4,76,91.4,23,91.6,25
USC00114355,725440-14923,40.831356055260905,7.400000000000006,41.4255,-91.0094,167.6,IL,ILLINOIS CITY DAM 16,-6,19480701-20240401,94.5,76,89.3,23,91.5,25
USC00113262,725430-94822,43.94197958537471,7.599999999999994,42.2972,-89.6038,228.6,IL,FREEPORT WASTE WTR PL,-6,19480701-20240401,92.9,76,78.8,23,80.9,25
USC00111577,725300-94846,27.806241988725823,15.0,41.7373,-87.7773,189.0,IL,CHICAGO MIDWAY AP 3SW,-6,19480701-20240401,95.9,76,90.2,23,92.9,25
USC00094941,723240-13882,22.264701442084547,39.5,34.853,-85.3142,243.5,GA,CHICKAMAUGA 2 SW,-5,19480601-20240410,80.4,76,90.8,23,92.1,14
USW00093809,724350-03816,36.777351316029645,25.900000000000006,37.0401,-89.1842,98.1,IL,CAIRO 3N,-6,19480701-20240312,90.2,76,74.0,23,76.8,14
USC00413691,722595-13911,42.52583529564444,6.699999999999989,32.9506,-97.0553,178.3,TX,GRAPEVINE DAM,-6,19490623-20240131,90.2,75,82.3,23,80.2,14
USC00415094,722580-13960,39.37920927523116,8.400000000000006,33.0352,-96.4861,155.4,TX,LAVON DAM,-6,19490701-20240327,81.6,75,72.5,23,79.6,14
USW00024137,727796-24137,0.6291008066005026,2.7999999999999545,48.6036,-112.3766,1171.8,MT,CUT BANK AIRPORT,-7,19480701-20231206,91.6,75,77.2,23,80.2,7
USC00338552,745700-13840,37.62793336058988,60.60000000000002,40.0991,-83.7823,310.6,OH,URBANA WRF,-5,19491101-20240401,77.3,75,92.6,23,93.7,25
USC00291963,722686-23008,25.806675811829052,42.799999999999955,34.5988,-103.2161,1351.8,NM,CLOVIS 13 N,-7,19490701-20240403,95.4,75,80.6,23,79.2,7
USW00093044,723627-23081,44.48212638136278,7.099999999999909,35.1,-108.7833,1962.9,NM,ZUNI CAA,-7,19490301-20240401,66.9,75,81.7,23,85.2,7
USC00410691,722595-13911,12.522443488114932,55.80000000000001,32.6475,-97.4439,240.8,TX,BENBROOK DAM,-6,19490622-20240131,90.8,75,85.4,23,84.2,14
USC00367931,725140-14778,47.53246303886968,25.80000000000001,40.8153,-76.8556,133.2,PA,SELINSGROVE CAA AIRPORT,-5,19490701-20230102,59.6,74,94.4,23,96.4,25
USW00014995,722183-04972,25.25129111783233,0.8000000000000114,45.7728,-92.6886,301.8,WI,GRANTSBURG,-6,19500701-20240416,7.6,74,81.4,23,75.7,26
USC00332124,724280-14821,44.34822634296092,35.60000000000002,40.3583,-83.0703,281.6,OH,DELAWARE LAKE,-5,19500401-20240401,42.6,74,99.6,23,99.4,25
USC00214937,726510-14944,45.366337828536324,25.19999999999999,43.6658,-96.2022,457.2,MN,LUVERNE,-6,19501001-20240401,85.3,74,88.7,23,89.5,25
USC00086240,722210-13858,5.969590345535177,3.3999999999999986,30.5316,-86.4928,22.6,FL,NICEVILLE,-6,19500701-20240408,89.3,74,92.8,23,91.1,14
USC00220021,723306-13825,21.06335381207435,8.700000000000003,33.8301,-88.5206,57.3,MS,ABERDEEN,-6,19510829-20240407,84.2,73,72.1,23,76.8,14
USC00050834,724650-23065,49.44558716083998,22.90000000000009,39.6567,-102.1193,1132.9,CO,BONNY DAM 2NE,-7,19510601-20240408,60.4,73,96.9,23,97.4,7
USC00251145,725660-24028,46.876906520383905,87.70000000000005,41.6681,-103.1038,1118.3,NE,BRIDGEPORT,-7,19480801-20210712,91.3,73,83.5,23,84.8,7
USC00101018,726810-24131,15.464731526890581,5.600000000000023,43.5253,-116.0542,865.6,ID,BOISE LUCKY PEAK DAM,-7,19510101-20240405,87.7,73,88.7,23,89.4,7
USC00339312,725210-14895,42.828872612403075,57.10000000000002,40.7813,-81.9199,310.9,OH,WOOSTER EXP STATION,-5,19480801-20240403,93.6,76,87.2,23,91.7,25
USC00381726,722180-03820,39.89564390671081,81.9,33.6634,-82.1897,121.9,SC,CLARKS HILL 1 W,-5,19520108-20240305,89.5,72,84.8,23,86.0,14
USC00325993,727675-94011,25.859551094762246,31.200000000000045,48.1802,-101.2963,539.2,ND,MINOT EXP STATION,-6,19520901-20240301,92.1,72,73.6,23,78.5,26
USC00419715,722560-13959,31.534893034867604,24.0,31.8611,-97.375,175.0,TX,WHITNEY DAM,-6,19520617-20240312,94.1,72,87.5,23,88.5,14
USC00153929,724240-13807,45.49459059074451,10.199999999999989,37.5316,-85.735,240.2,KY,HODGENVILLE LINCOLN P,-5,19480801-20200901,81.5,72,81.1,23,83.1,14
USC00125337,725335-99999,42.202120178667805,6.199999999999989,40.58,-85.6586,240.8,IN,MARION 2 N,-5,19530613-20240401,92.5,71,73.2,23,75.2,25
USC00294366,723650-23050,39.22631341676364,24.299999999999955,35.3886,-106.5438,1642.3,NM,JEMEZ DAM,-7,19531001-20240402,89.0,71,96.7,23,98.8,5
USC00238712,724467-13930,23.25844569499941,22.400000000000006,38.7841,-93.8008,242.6,MO,WARRENSBURG 4NW,-6,19530324-20240401,76.3,71,83.9,23,83.0,25
USC00419499,722630-23034,42.38260894790952,62.700000000000045,31.6725,-100.7283,644.7,TX,WATER VALLEY,-6,19531001-20240402,88.6,71,82.6,23,86.1,7
USC00385946,722080-13880,39.50730553323866,3.9000000000000004,33.2425,-79.9869,14.9,SC,MONCKS CORNER 4 N,-5,19480601-20181127,78.8,70,99.6,23,99.6,14
USC00380736,747900-13849,36.847720208252646,19.700000000000003,34.2246,-80.2191,53.3,SC,BISHOPVILLE 1.4 ENE,-5,19480601-20180228,86.3,70,89.6,23,90.0,14
USW00024027,725744-24027,0.5755774605209165,0.0,41.5947,-109.0529,2060.0,WY,ROCK SPRINGS AP,-7,19480801-20170508,55.6,69,90.8,23,94.7,7
USC00087886,722110-12842,21.68310276946738,9.7,27.7833,-82.6333,10.7,FL,ST PETERSBURG,-5,19460201-20150102,91.1,69,86.6,23,88.1,14
USC00206300,725390-14836,43.812133135464485,38.5,43.0161,-84.18,222.5,MI,OWOSSO WWTP,-5,19550831-20240401,85.7,69,79.4,23,86.4,25
USC00243176,727680-94008,26.896176614185084,65.79999999999995,48.0121,-106.4117,631.2,MT,FORT PECK POWER PLANT,-7,19561201-20240423,94.9,68,77.4,23,83.5,7
USC00422726,725720-24127,27.92583291766813,47.0,41.0203,-111.9328,1335.0,UT,FARMINGTON 3 NW,-7,19480801-20240419,52.7,76,99.7,23,100.0,17
USC00335747,724280-14821,40.403953488456516,8.5,40.0875,-82.4128,254.5,OH,NEWARK WATER WORKS,-5,19561101-20240402,83.2,68,84.1,23,88.2,25
