StnID,Lat,Lon,Elev,State/Province,Name,UTC_Offset,POR_Date_Range_P,PCT_POR_Good_P,Num_Years_P,POR_Date_Range_T,Num_Years_T,PCT_POR_Good_T,overlap_years,PCT_Good_Overlap_1h,PCT_Good_Overlap_24h,Clim_Reg,KG
USC00034548,33.2586,-93.1822,113.4,AR,MAGNOLIA,-6,19480501-20240314,52.7,76,19480101-20240504,77.0,90.5,77,87.6,84.0,S,14
USC00475364,45.1785,-89.6615,381.0,WI,MERRILL,-6,19480801-20240404,86.3,76,19050818-20240504,120.0,93.9,77,97.1,98.6,UM,26
USC00476398,45.9333,-90.45,462.4,WI,PARK FALLS,-6,19480801-20240401,80.1,76,19100501-20240502,115.0,86.5,77,89.3,91.3,UM,26
USC00047902,34.4167,-119.6844,4.9,CA,SANTA BARBARA,-8,19480701-20240402,91.4,76,18930101-20240504,132.0,95.1,77,94.8,94.8,W,9
USC00325479,46.8127,-100.9097,533.4,ND,MANDAN EXP STATION,-6,19481001-20240401,94.1,76,19130716-20240331,112.0,95.7,77,97.4,95.5,NRP,7
USW00013802,38.55,-89.85,135.0,IL,BELLEVILLE SCOTT AAF,-6,19480701-20240401,92.4,76,19480601-20240430,77.0,97.3,77,96.6,96.5,OV,25
USC00095314,33.0125,-82.3914,98.1,GA,LOUISVILLE 1 E,-5,19480601-20240206,91.9,76,18930101-20240408,132.0,88.8,77,93.8,92.8,SE,14
USC00421759,40.6189,-111.7836,1519.7,UT,COTTONWOOD WEIR,-7,19480713-20240401,92.3,76,19170501-20240430,108.0,73.9,77,95.0,95.7,SW,17
USC00114198,40.4664,-87.6851,216.4,IL,HOOPESTON,-6,19480701-20240306,96.9,76,19020601-20240504,123.0,97.8,77,98.9,99.1,OV,25
USC00113290,41.8978,-90.1545,180.4,IL,FULTON L&D # 13,-6,19480701-20240410,70.3,76,19380101-20240504,87.0,95.1,77,96.7,96.8,OV,25
USW00023162,39.3833,-112.5167,1450.5,UT,DELTA,-7,19480701-20240410,95.9,76,19380601-20240331,87.0,93.5,77,92.1,89.2,SW,5
USC00111577,41.7373,-87.7773,189.0,IL,CHICAGO MIDWAY AP 3SW,-6,19480701-20240401,95.9,76,19280229-20240504,97.0,95.9,77,99.9,99.9,OV,25
USC00101956,47.6821,-116.7967,650.1,ID,COEUR D'ALENE,-8,19480701-20240411,74.4,76,18950901-20240501,130.0,79.5,77,93.7,92.9,NW,18
USC00425186,41.7456,-111.8033,1460.0,UT,LOGAN UTAH ST U,-7,19480701-20240318,95.4,76,18930101-20240430,132.0,95.2,77,97.7,99.1,SW,25
USC00426135,39.712,-111.832,1568.5,UT,NEPHI,-7,19480801-20240401,96.8,76,19040601-20240331,121.0,66.2,77,97.1,98.4,SW,7
USC00427260,38.7617,-112.0777,1610.9,UT,RICHFIELD RADIO KSVC,-7,19480801-20240418,91.2,76,18930101-20240331,132.0,89.3,77,94.5,96.3,SW,5
USC00427395,40.2875,-109.959,1528.0,UT,ROOSEVELT RADIO,-7,19480701-20240416,90.9,76,19480714-20240503,77.0,96.5,77,97.0,96.1,SW,5
USC00102707,44.2436,-112.2003,1661.2,ID,DUBOIS EXPERIMENT STATION,-7,19480701-20240401,83.6,76,19250101-20240430,100.0,99.0,77,99.2,99.4,NW,7
USC00105462,43.9178,-113.6152,1797.4,ID,MACKAY LOST RIVER RS,-7,19480701-20240404,86.7,76,19080107-20240503,117.0,90.3,77,87.1,88.6,NW,7
USC00420738,37.6132,-109.4848,1839.5,UT,BLANDING,-7,19480701-20240409,96.5,76,19041126-20240503,121.0,95.9,77,98.6,97.9,SW,7
USC00437054,44.42,-72.0194,213.4,VT,SAINT JOHNSBURY,-5,19480501-20240331,85.0,76,18940301-20240504,131.0,98.4,77,98.3,98.0,NE,26
